id, title, author, summary, rating, warnings, category, fandoms, relationship, characters, additional_tags, language, published, words, chapters_posted, chapters_total, comments, kudos, bookmarks, hits
"26854327", "That was impressive (Or Rise again)", "ONeillwith2ls", "<p>Jack is impressed with his new captain's abilities--time to do something about it</p>", "['General Audiences']", "['Choose Not To Use Archive Warnings']", "['Gen']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-06", "1493", "1", "1", "8", "27", "1", "191"
"26616205", "Through A Child's Eye", "XWingKC", "<p>Sam and Jack drive to the cabin for much needed family time</p>", "['General Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-05", "3503", "2", "/", "55", "58", "1", "558"
"23665924", "Unravel", "ONeillwith2ls", "<p>You can never tell me threads is not about Jack and Sam getting together! Of course it was! Here are the scenes in between on screen.</p>", "['Mature']", "['Choose Not To Use Archive Warnings', 'No Archive Warnings Apply']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-05", "33491", "12", "/", "113", "115", "16", "3845"
"26813494", "Echoes", "Kinggorilla", "<p>Trying to come to grips with the fallout of a failed mission, SG-1 is caught between allegiance and conscience.</p>", "['General Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-04", "7202", "1", "1", "8", "19", "1", "176"
"26811751", "That didn't stop you before", "ONeillwith2ls", "<p>Sam confronts Jack before going through the gate.</p>", "['General Audiences']", "['Choose Not To Use Archive Warnings']", "['Gen']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-04", "626", "1", "1", "9", "31", "0", "329"
"19155310", "In your hands", "RhinoHill", "<p>“For… my commanding officer?” Heat flushed across my cheeks before I could chase it away.</p><p>Alyssa’s wizened face crinkled into her smile. “What a quaint term! You T’auri are still remarkably patriarchal for such an advanced civilisation”</p><p>My blush turned crimson as I understood her meaning. “No! No, not in that sense!” I stammered. “He’s in charge of me. At work. We just work together!”</p>", "['Mature']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-03", "13413", "14", "/", "162", "173", "10", "2863"
"26795548", "Cold Coffee, Warm Kisses", "purplejellosg1", "<p>Written for the Fictober Prompt: 'no, come back.' Very fluffy, very Sam/Jack.</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-03", "829", "1", "1", "8", "62", "6", "288"
"26215141", "Sanctuary (FalloutGate - Part 1)", "TheUnforgivingMinute", "<p>Sam &amp; Jack end up stranded together on a world that has suffered a nuclear apocalypse, but that seems eerily similar to Earth (set S8 pre-Threads, AU after that). A Sam/Jack ship story that happens to be set in the darker Fallout 4 Universe (if you don't know Fallout it won't impact your enjoyment at all, just be aware the setting/characters are borrowed) Hope you enjoy the ride! </p>
<p>I used to write as devilishlysas (1818411) on Fanfiction.net but been dormant for some time, I'm dipping my toes back in with this.</p>", "['Explicit']", "['Graphic Depictions Of Violence']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-03", "92358", "9", "/", "70", "97", "12", "1661"
"26405581", "What no one tells you about having genius kids", "stargatemaniac", "<p>Stargate AU in which Jack meets Sam instead of Sara, and have a daughter together.<br/>Now she's grown up and all hell breaks loose. </p><p>Set at the beginning of season 4 of SGA</p>", "['Teen And Up Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-03", "7052", "4", "/", "5", "46", "3", "710"
"26790931", "You did This?", "ONeillwith2ls", "<p>Sam needs some furniture, only the best will do for his SIC.</p><p>Part of the Fictober2020 challenge</p><p>Set Season 1</p>", "['General Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-03", "1239", "1", "1", "8", "30", "0", "211"
"26782030", "Secret Ingredient", "craterdweller", "<p>Jack makes Sam his famous omelet.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-02", "538", "1", "1", "0", "41", "1", "260"
"26777875", "What Happens Off-World", "purplejellosg1", "<p>They all had an unexpected reaction to the ceremonial wine. Fictober 2020 fic for the prompt: I'm not doing that again.</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-02", "1954", "1", "1", "5", "48", "3", "270"
"26769805", "That's the easy part", "ONeillwith2ls", "<p>During her time Prometheus, there's at least one hallucination we didn't see</p>", "['General Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-02", "418", "1", "1", "11", "38", "0", "316"
"26760004", "Sam & Jack  - Where do you go?", "Samantha_Carter_is_my_muse", "", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-02", "4", "1", "1", "0", "14", "0", "155"
"25720570", "Make It Official", "agentofvalue", "<p>Jack O’Neill left his post as commander of the Stargate Command for a reason and that reason was Samantha Carter. Together at long last, but keeping it quiet for the sake of both their careers, they've found their version of happiness. They will have to figure out what they really want when Sam makes an unplanned announcement.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-02", "31095", "7", "/", "43", "128", "15", "2304"
"25120237", "All About Trust", "Into_The_Mystic", "<p>When Sam is informed of a break in trust by her fiancé and her CO, it changes everything.  But as she tries to sort things out, a new threat emerges...one that will flip her world upside down.  </p><p>Explicit sexual content warnings posted on individual chapter notes, beginning on Chapter 11.</p>", "['Explicit']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-10-01", "47830", "23", "/", "225", "185", "23", "5567"
"26628556", "Got a secret, Can you keep it?", "SerahSanguine", "<p>What if Jack had met Sam Before their first mission together?</p>", "['Explicit']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-30", "9710", "4", "/", "28", "73", "10", "1088"
"18319301", "Language of Love", "Tanista", "<p>Daniel Jackson meets a kindred spirit at a conference. They part, then meet again under extraordinary circumstances. Nothing will ever be the same.</p>", "['Teen And Up Audiences']", "[]", "['F/M', 'Multi', 'M/M']", "MacGyver (TV 1985)", "[]", "[]", "[]", "English", "2020-09-29", "197552", "30", "/", "38", "112", "7", "3742"
"23233399", "Children of the Ancients", "Sourlander", "<p>Caleb Lorne hates that his parents have secrets. He hates that his sister Grace is in on them. He's plagued by nightmares and he can't intepret them. He doesn't know where they come from, but he has a hunch his father, General Lorne, could help him get to the bottom of them.</p>", "['Explicit']", "['Graphic Depictions Of Violence', 'Major Character Death']", "['F/M']", "Stargate Atlantis", "[]", "[]", "[]", "English", "2020-09-29", "114135", "43", "/", "28", "21", "1", "1372"
"21203051", "Timeline and Who's Who in Ad Astra", "Tanista", "<p>Basically what the title says. A non-fiction guide to my crossover AU 'verse, including a timeline of stories and other important dates mentioned along with a cast of characters, both canon and original. Updated as ongoing stories evolve or new ones posted.</p>", "['General Audiences']", "[]", "['Gen']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-29", "3357", "2", "/", "0", "5", "0", "486"
"21771631", "A Linguist's Guide to New Earth", "Tanista", "<p>A glossary of phrases and explanations of certain concepts in my Ad Astra 'verse. Basically to keep things straight, as well as general reference for readers. Expanded from time to time as stories evolve.</p>", "['General Audiences']", "[]", "['Gen']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-29", "4297", "1", "1", "2", "5", "0", "398"
"26703865", "A Good Time Was Had By All", "Intronerd (PawneeEm)", "<p>Without further ado, it becomes Jack's mission in life to have Carter enjoy something that isn't so… Nerdy.<br/>It's his responsibility as leader of SG1, after all.</p>", "['Mature']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-28", "819", "1", "1", "8", "62", "3", "384"
"25051912", "Five Times Jack And Jacob Talk", "wackyjacqs", "<p>Five times Jack and Jacob talk – and one time they don't.</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-28", "5906", "2", "/", "55", "130", "12", "901"
"26654356", "If I Ask For You, Will You Say Yes?", "Cjuglum2017", "<p>'Come on, Jack. After 8 years, surely there is something you want as payment for what you've sacrificed.' </p><p>Jack finally talks to the president.</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-28", "4327", "2", "/", "33", "91", "3", "762"
"18722464", "Tangled Threads", "wackyjacqs", "<p>There are hundreds of threads in our lives, but sometimes you only need to pull one for everything to unravel.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-28", "34558", "19", "/", "355", "337", "37", "6545"
"26677279", "T-minus a Lifetime", "Intronerd (PawneeEm)", "<p>'Resigning? What for?' <br/>She’d never figured Jack O'Neill for a grand gesture kind of guy.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-27", "630", "1", "1", "13", "47", "4", "362"
"26669386", "Sharing", "alishaperegrina", "<p>Sam and Jack share a tent and a little more.</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-27", "2327", "1", "1", "10", "69", "2", "396"
"26666983", "Uh, Sam", "craterdweller", "<p>Jack gets a surprise when he opens his closet.</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-26", "964", "1", "1", "5", "65", "4", "466"
"26601196", "Scenes From An Unseen Week", "Bobbie23", "<p>They land on their asses. Literally. There was nothing graceful about the way they landed. Jumping through the Stargate at that angle, that velocity, they couldn’t avoid a hard landing, on stone no less.</p>", "['General Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M', 'Gen']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-26", "9035", "5", "/", "22", "72", "3", "819"
"26656348", "Chains & Dog Tags", "writingherhope", "<p>One of the only friends Sam has kept in touch with since high school, even if very rarely, came into town for Jacob's wake and stays for a week of catching up. A night at O'Malley's and a tall drink of water she met at the wake have her teasing Sam about all the hot men she surrounds herself with on a daily basis. </p><p> </p><p>Working on a continuation, now.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-26", "1337", "1", "1", "10", "58", "1", "441"
"26643139", "Chimera", "ebineez01", "<p>Set during S7ep15, Chimera.<br/>Because I watched it last night and we know that when Sam was dancing with Pete she was thinking about Jack.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-25", "724", "1", "1", "8", "25", "0", "222"
"24657682", "Clan of The Wolf", "RoczaDeb", "<p>A virus sweeps through the SGC and gives the infected abilities similar to old were-wolf legends. Should they cure it or use it to ensure the safety of the galaxy? (This story is incomplete and will not be finished)</p>", "['Mature']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-24", "33647", "15", "/", "21", "33", "8", "925"
"26481616", "Unseen moments of satisfaction", "Amfor", "<p>Sam is coming through the gate with an injury that has to be treated with the help of an alien technology and Jack volunteers to help with her recovery.</p>", "['Teen And Up Audiences']", "['Choose Not To Use Archive Warnings', 'No Archive Warnings Apply']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-22", "7792", "2", "/", "6", "30", "1", "645"
"26350870", "Crossing Paths", "Imcalledzorro", "<p>The Winchesters and MacGyver join the Stargate program. These are their stories.</p>", "['General Audiences']", "[]", "['F/M', 'Gen']", "Supernatural", "[]", "[]", "[]", "English", "2020-09-21", "12270", "3", "/", "20", "22", "4", "290"
"26573467", "7 Ways To Come Out In The Pegasus Galaxy", "Charlotte_Lancer", "<p>Or, despite the fact that Sheppard had never had a problem keeping things to himself on Earth, the Pegasus Galaxy itself seems to be against the very concept of secrets.</p>", "['Mature']", "[]", "['F/M', 'M/M']", "Stargate Atlantis", "[]", "[]", "[]", "English", "2020-09-21", "2986", "1", "1", "2", "13", "2", "180"
"26563771", "Cariad", "Scribe_and_Vibe", "<p>Post Threads. Navigating a relationship with someone who has been your CO for 8 years is a tricky thing</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-20", "3347", "1", "1", "16", "67", "8", "426"
"26553100", "I'm sorry Jack", "Scifikt", "<p>Hank calls Jack with bad news.</p>", "['General Audiences']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-19", "8513", "1", "1", "5", "53", "1", "474"
"26435635", "Solstitium, Interrupted", "Intronerd (PawneeEm)", "<p>“Why did you touch the sacred stone?”<br/>Jack did touch the stone, but in his defence, it looked neat. All round and glittery.<br/>He shrugged, “It’s who I am as a person.”</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-19", "3254", "2", "/", "31", "62", "3", "530"
"25672171", "Walking on Broken Glass", "RhinoHill", "<p>She had made her peace with it. They couldn't be together.<br/>Pete loved her, and she would build a life with him.</p><p>Until Annie Lennox started playing on the jukebox.</p><p>Some scenes that should have been in Threads (8-18), and a moment of justice for fellow "ugh"ers of Pete...</p><p>--oOo--</p>", "['Mature']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-19", "19545", "18", "/", "436", "211", "21", "4261"
"26227903", "The final push", "hopalong2", "<p>I don't own anything purely fanfic</p>", "['Mature']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-16", "501", "3", "/", "2", "7", "0", "241"
"26492212", "He Never Said "I Love You"", "brendini511", "<p>Unspoken words</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-16", "142", "1", "1", "0", "36", "0", "310"
"26487811", "Revelations", "samcaarter", "<p></p><blockquote>
<p>He bought a house.</p>
<p>Or he started the process of buying a house. Sam realizes she doesn't want to know which, as he guides her from one room to the next, chatting incessantly. She follows him in a daze, as if she's walking through waist high water, trying and failing to listen and actually hear what he's saying.</p>
</blockquote>Or Kerry isn't at Jack's house", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-15", "1650", "1", "1", "17", "120", "13", "635"
"8765713", "Bonding", "Sanctitatem", "<p>Sam and Jack are stranded on a planet and have to work together to find a way home. Certain tensions come to the surface and they face them.<br/>Rating is for future chapters. Chapters 1-3 are for general audiences.</p>", "['Explicit']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-14", "14577", "12", "/", "60", "142", "12", "7038"
"20081428", "JACK AND SAM'S ARMBAND LEGACY", "TuruaSam", "<p>When Jack and Sam are compromised by the alien armbands, they break out of the SGC and go to O'Malley's.</p><p>Once they've broken out, they can't resist breaking the Regs, and once they've broken the Regs, reality sets in and they know that they have to try and pretend it never happened.</p><p>How can they pretend that the best orgasms they've ever had, never happened?</p><p>How can they pretend that they don't know what it feels like to be held in the arms of the love of their life?</p><p>How can Jack pretend that the other half of his soul is just another Subordinate, when Sam almost dies?</p><p>How can Sam pretend that she's not in a continuing sexual relationship with her Commanding Officer, when she can't bear to sleep unless he's holding her?</p><p>How can they keep pretending that they never broke those Regs, when Janet finds out that Sam is pregnant?</p><p>Suddenly those broken Reg's fade into the background, when they realise that the legacy left behind by the Armbands, may end up costing Sam her life.</p><p>Hot smut warning!!!.</p>", "['Explicit']", "['Choose Not To Use Archive Warnings']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-14", "144324", "29", "/", "152", "193", "17", "8246"
"23318452", "Are you sure I'm the one?", "Loverustal", "<p>Jack and Sam have been seeing each for about two months. They take their first trip to the cabin alone. Jack has a surprise for Sam. Is she ready for his surprise or will he push her too far too quickly.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-12", "5090", "5", "/", "41", "71", "5", "1230"
"26424511", "When A Present Falls Into Your Lap, Don't Ask", "captain_sassy_socks", "<p>Sam lurches forward, hand raised, and finger pointing at Thor. “No way, I’m gonna let you-”</p>
<p>The white light engulfs her.</p>
<p>“-sacrifice yourself.” Her feet connect with the wooden top of the General’s desk as he, himself, comes into sight at an unusual angle. The momentum propels her forward. Before she can contemplate her strange situation, she steps on air. “Ahh-”</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-12", "477", "1", "1", "19", "78", "2", "522"
"23496880", "The Ball of Ba'al", "XWingKC", "<p>The fallout and implications of O'Neill's imprisonment and torture at the hands of Ba'al. But, of course, this has now taken a life of its own. No adult themes happen until Chapter 15. Enjoy the ride!</p><p><b><u>NOTE</u></b>: I erroneously had the underage tag on here because I misinterpreted the meaning behind it. I thought it was a general warning to underage readers. I would never write about bad things happening to underage kids. So I have removed the tag here. All things, good or bad, that require a tag happen to adults. I'm sorry to those who missed out on reading this due to my ignorance of the tag. I do hope you will give this a second try. I have Annette to thank for helping me understand the tag. ❤️</p>", "['Explicit']", "['Graphic Depictions Of Violence', 'Rape/Non-Con']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-10", "158861", "53", "/", "216", "149", "8", "6798"
"26378686", "Fire In The Sky", "wackyjacqs", "<p>“I still care about her,” he murmurs, “and a lot more than I’m supposed to, Teal’c.”</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-09", "1419", "1", "1", "17", "81", "0", "564"
"23280001", "2000: Doing it right the first time round", "ONeillwith2ls", "<p>AU of 2010, I never bought that Sam didn't trust Jack over the Aschen to begin with, I know it was to create the future we saw in 2010 its just it would never happen, especially when you look around that episode and see where it is. Sorry.</p>
<p>So here's my alternative to it.</p>", "['Teen And Up Audiences']", "['Choose Not To Use Archive Warnings', 'No Archive Warnings Apply']", "['F/M', 'Gen']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-09", "33090", "18", "/", "102", "121", "9", "3515"
"25925827", "Mess Dress", "ebineez01", "<p>The team, along with the General and Doc Fraiser get invited to a presidential dinner in D.C...</p><p>Sam laughed at her friend, knowing all too well that none of 'those boys' thought of her as anything other than just one of the guys...</p>", "['Mature']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-09", "13276", "8", "/", "85", "96", "5", "1907"
"26371117", "Nothing", "writingherhope", "<p>How did the word “nothing” become to mean so much and so little at the same time?<br/>*Please be patient with me on this one. I will update as the muse hits.<br/>Inspired by Jack's "Nothing." at the briefing room table in WoO and then Sam's in the infirmary in Grace.</p>", "['Teen And Up Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-09", "689", "3", "/", "21", "21", "2", "230"
"16738450", "Little Girl Lost", "Loverustal", "<p>Sam Carter has always had problems with personal relationships. Being a young girl growing up without her mother and grieving father, may have had a lot to do with it. This is a Sam who is very insecure about personal romantic relationships. We find out some experiences scar you. Will she learn to grow into the woman she was meant to be? Will she let go and let Jack love her? Will someone from her past come back?</p>", "['Mature']", "['Graphic Depictions Of Violence', 'Rape/Non-Con', 'Underage']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-07", "21676", "19", "/", "118", "128", "11", "3190"
"23461804", "Dangling Threads", "Bobbie23", "<p>Bridging the gap between leaving the SGC and their new assignments. </p><p> </p><p>REPOST - see author note on chapter one</p>", "['Explicit']", "[]", "['F/M', 'Gen']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-07", "34977", "14", "/", "97", "199", "18", "3857"
"26341087", "Star Hire", "wackyjacqs", "<p><em>“That’s</em> Doctor Carter?” he asks. </p>
<p>“Yes, Jack,” she smiles. <em>“That’s</em> Sam Carter – as in, <em>Samantha</em> Carter.”</p>
<p>“You never said it was a woman.”</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-07", "1520", "1", "1", "22", "90", "0", "556"
"26197828", "They Caved", "SparkyNomad", "<p>They caved. Finally. But will they be able to continue working together? And how's Jacob going to react?</p><p>Chapter 1 is smut. You can thank Sam for that. If smut isn't your thing, jump to chapter 2. There are only really "hints" from then on. Until I finish another chapter which could be saucy then I'll throw up another warning :D</p>", "['Explicit']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-06", "4433", "5", "/", "48", "61", "7", "924"
"26309080", "don't tell me how it ends", "writingherhope", "<p>The grass had needed mowing for about two weeks, but the lawn mower had been out of commission and the work schedule had been just crazy enough; being off world with SG-3 on a diplomatic mission was just the latest snag.</p>", "['General Audiences']", "[]", "['F/M', 'Other']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-05", "457", "1", "1", "9", "52", "0", "335"
"22575940", "JACK AND SAM'S DESTINY", "TuruaSam", "<p>Jack O'Neill and Samantha Carter are ALWAYS destined to be together.<br/>An AU setting, with Kawalsky as leader of SG1 instead of Jack. (Sam has NO romantic feelings for Kawalsky).<br/>This AU basically followed the missions of the real SG1 up until this point (just before S7 E21 - The Lost City).<br/>Jack owns a trail riding business and also breeds and trains Quarter horses on a small ranch that he bought after Sara and Charlie died and he retired from the Air Force.<br/>A year ago, Kawalsky stepped back from leading SG1 due to injury, and Sam got promoted to Lieutenant Colonel to lead SG1(Teal'c, Daniel and invented character), and then promoted to Colonel as she continues to lead SG1.<br/>General Kawalsky commands the SGC, and General Hammond is the head of Homeworld security. Janet never died and the President is Henry Hayes.<br/>Jack saves Sam's life and they quickly fall in love, but suddenly Sam's life is in serious danger again when her immune system mysteriously fails while they are snowed in. Sam deteriorates quickly and she's forced to tell Jack her secrets so he can get the Prometheus to beam them up and get her to the SGC so Janet can try to save her life.<br/>COMPLETE SUMMARY IS IN CHAPTER 1</p>", "['Explicit']", "['Graphic Depictions Of Violence', 'Rape/Non-Con']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-04", "213101", "29", "/", "91", "96", "5", "3651"
"26291257", "Love Letters", "wackyjacqs", "<p>“I don’t know, Carter,” Jack says as he leans over her shoulder and takes the single piece of A4 paper from her hands, “I’m thinking of getting it framed.”</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-04", "1101", "1", "1", "39", "94", "2", "586"
"25877506", "Battling Nightmares Together", "Into_The_Mystic", "<p>Sam and Jack have gone through so much together. Nightmares are to be expected. This ongoing series is about how they provide comfort to each other during the hard times. It’s about “Always.”<br/>Each chapter stands alone. Any rating changes and/or warnings will be noted in the Chapter summary.</p>", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-04", "7248", "7", "/", "54", "80", "8", "1021"
"26280514", "Daniel's Death - Missing Scene episode Revelations", "WildMoonFiction4Ever", "<p>Sam's angry at Jack for ignoring Daniel's death so my take when Sam talks to Jack in the corridor.</p>", "['General Audiences']", "['Major Character Death']", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-04", "602", "1", "1", "0", "11", "0", "202"
"26274862", "Sam & Jack - I know", "Samantha_Carter_is_my_muse", "", "['General Audiences']", "[]", "['F/M']", "Stargate SG-1", "[]", "[]", "[]", "English", "2020-09-03", "0", "1", "1", "0", "17", "0", "183"
